texto,calificacion,lugar,categoria,fuente
"Nuestra habitación tenía una vista increíble al volcán y jardín con terraza privada. Las instalaciones de piscina y jacuzzi muy limpias pero sobre todo destacar la amabilidad de Lilibeth, nos ayudó en todo momento y estuvo pendiente de que nuestra estancia fuera lo más cómoda posible.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Exquisito y muy bien servido y atentido. La tranquilidad y seguridad No tener más días para quedarme. Pero ya se a dónde volver cuando vaya por ésos lugares.,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Espectacular todo. El jardín que rodea al hotel, las vistas del Arenal, la comodidad de la habitación cin su porchecito, la piscina y zona de juegos que le encantaron a mis hijas y la amabilidad y recomendaciones del personal.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Las areas de esparcimiento como piscina y area de juegos Que no tenia restaurante para almuerzos o cenas.,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Nuestra habitación tenía unas preciosas vistas al jardín y al volcán, con hamaca y terraza privada. Nos encantó la piscina y sobre todo el jacuzzi, un lujo. La ubicación está bien, en coche a escasos minutos del pueblo y de las aguas termales (andando es más tiempo). El personal fue muy agradable, y disponen de cafetería y sala de juegos común No recomiendo el servicio de lavandería, fue muy caro y no nos aconsejaron irnos a otro lugar. Los tours a través del hotel creemos que también salen más caros y es mejor cogerlos por otra parte",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo perfecto. Ubicación muy buena, senderos preciosos y muy bien cuidados, el entorno es paradisiaco. Buen desayuno. Mencionar especialmente la amabilidad del personal: tuvimos un contratiempo el día de llegada y Elizabeth nos ayudó con toda la paciencia y comprensión del mundo.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel es un jardin con casitas individuales para cada huesped, las habitaciones y el baño son grandes.
El desayuno muy bueno
Elisabet de la recepción muy simpatica y te ayuda en todo",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Muy verde lleno de flores y pajaros. Habitaciones cómodas. Sala de juegos entretenida. En el
Camino al parque nacional Arenal.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo, tiene mucho encanto",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo; el ambiente, la atención del personal, las instalaciones, la habitación, el desayuno... todo. He tenido la suerte de poder viajar por muchos países durante muchos años y he de decir que este es sin duda el mejor alojamiento en el que he estado. La cabaña en la que nos alojamos estaba muy bien cuidada; el alojamiento cuenta con zona de juego donde no le faltaba detalle, una zona de cocina donde poder sentarte a disfrutar una taza de café o té, una piscina y jacuzzi con hamacas muy bien cuidadas y por todo el alojamiento cuentas con rincones donde pasar el rato. 
Las chicas que nos atendieron fueron muy amables. 
El alojamiento cuenta con zona muy amplia donde aparcar y ofrecen desayunos que están muy ricos. 
No le pongo más de un 10 porque ese el tope, pero sin duda tendría más si fuera posible. 
Gracias por hacernos sentir como en casa 😊 No hay nada que no nos haya gustado.",5,Hotel Roca Negra del Arenal,alojamiento,booking
La piscina,5,Hotel Roca Negra del Arenal,alojamiento,booking
Es un lugar  acogedor y muy familiar,5,Hotel Roca Negra del Arenal,alojamiento,booking
